Date,Circuit,Country,International,Tournament,CA_1,CA_2,CA_3,CA_4,CA_5,CA_6,CA_7,CA_8,Event_Link,Round_Code,Round,Motion,Infoslide,Topic_Area_1,Topic_Area_2,Topic_Area_3,Topic_Area_Specific_1
2015-08-03,Europe,Austria,2,EUDC,Christine Simpson,Michael Shapira,Amanda Moorghen,Emilia Carlqvist,Gavin Illsley,,,,,3,3,This House believes that Western states should not use private military contractors in combat.,,"Security, War and Military",,,
2015-08-03,Europe,Austria,2,EUDC,Christine Simpson,Michael Shapira,Amanda Moorghen,Emilia Carlqvist,Gavin Illsley,,,,,Open_Z,Open_Final,TH would treat the deaths of soldiers as regrettable losses of lives rather than examples of heroism.,,"Security, War and Military",,,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,Open_V,Open_Partials,THW allow corporations to use hackers to retaliate against cyberattacks where the state seems unwilling or unable to do so,,"Security, War and Military",Science and Technology,Business,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,1,1,THW allow states to use mercenary forces in combat roles in active military operations,Mercenaries are soldiers for hire outside of national armed forces. They can be hired either as individuals contracted by a state or through companies offering these services to a state.,"Security, War and Military",International Relations,,
2016-02-13,IoNA,United Kingdom,1,LSE Open,Karin Merckens,Simon Tunnicliffe,Kate Brooks,,,,,,,4,4,"THIS HOUSE BELIEVES That western liberal democracies should cease all direct military action in Iraq, Syria, Libya and Yemen.",,"Security, War and Military",International Relations,,
2014-08-19,Europe,"Zagreb, Croatia",2,Zagreb EUDC,Rebecca Meredith,Milan Vignjevic,Alon van Dam,Ashish Kumar,Engin Arikan,Maja Cimerman,Sella Nevo,Tomas Beerthuis,,ESL_Z,ESL_Final,"THW, assuming it was technically feasible, remove the ability of soldiers to feel fear",,"Security, War and Military",Morality,,
2013-11-15,IoNA,United Kingdom,2,Cambridge IV,,,,,,,,,https://www.facebook.com/events/599836316713988/,ESL_Z,ESL_Finals,THBT it should be the policy of the US to conduct all of its military interventions unilaterally. ,,"Security, War and Military",International Relations,,
2013-11-10,IoNA,United Kingdom,2,Oxford IV,,,,,,,,,,Open_Z,Open_Finals,THBT the US should dissolve its military capabilities. ,,"Security, War and Military",International Relations,Terrorism,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,Open_W,Open_Octos,"THBT disadvantaged groups should emphasise their conformity with, rather than distinctiveness from, dominant culture, as a strategy for improving their social position",,Social Movements,Minority Communities,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,Open_Y,Open_Semis,"THBT non-western countries who were once colonized, when fabricating the material culture of national identity (anthems, street names, holidays, flag, etc.) should privilege pre colonial history and notions of indigeneity over themes of anti colonial resistance.",,Social Movements,Art and Culture,,Colonialism
2013-11-10,IoNA,United Kingdom,2,Oxford IV,,,,,,,,,,Open_Y,Open_Semis,THBT identity-based social movements should not include in their movements allies who are not part of the identity group in question. ,,Social Movements,,,
2015-11-22,IoNA,United Kingdom,0,Cambridge Women's Open,Srishti Krishnamoorthy,Olivia Sundberg Diez,Helena Ivanov,,,,,,,1,1,"THBT governments should place no restrictions on how welfare payments, excluding child benefit, are spent.",,Social Policy,Politics,Economics,
2015-08-03,Europe,Austria,2,EUDC,Christine Simpson,Michael Shapira,Amanda Moorghen,Emilia Carlqvist,Gavin Illsley,,,,,ESL_Y,ESL_Semis,TH would introduce a mandatory term of at least 1 year of non-military national service for 18year olds,,Social Policy,"Security, War and Military",,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,4,4,THBT governments with racially diverse populations should never record the ethnic or racial background of their residents,,Social Policy,Minority Communities,,
2014-08-19,Europe,"Zagreb, Croatia",2,Zagreb EUDC,Rebecca Meredith,Milan Vignjevic,Alon van Dam,Ashish Kumar,Engin Arikan,Maja Cimerman,Sella Nevo,Tomas Beerthuis,,1,1,This house would pay additional benefits to families on welfare according to their child’s performance in school.,,Social Policy,Education,,
2013-11-10,IoNA,United Kingdom,2,Oxford IV,,,,,,,,,,3,3,THW ban the gender testing of athletes in sports. ,,Sports,LGBT+,,
2015-10-24,IoNA,United Kingdom,0,SOAS IV,Joe Dyer,Helena Ivanov,Michael Dunn-Goekjian,Jamie Batchelor,,,,,,Open_Z,Open_Final,"THW prefer a world in which there are no extreme emotions such as boiling rage, falling madly in love, extreme grief etc",,The Human Experience,Funny,,
2016-02-13,IoNA,United Kingdom,1,LSE Open,Karin Merckens,Simon Tunnicliffe,Kate Brooks,,,,,,,ESL_Z,ESL Final,THW Prefer to live in A Brave New World,,The Human Experience,,,
2016-01-23,IoNA,United Kingdom,0,York IV,Bethany Garry,Jennie Hope,Nissim Massarano,,,,,,,1,1,"This house believes that young, educated people in Western countries should focus their charitable efforts (e.g., volunteering, donations, etc.) towards benefiting the disadvantaged in their own country, as opposed to in the developing world.",,,,,
2016-01-23,IoNA,United Kingdom,0,York IV,Bethany Garry,Jennie Hope,Nissim Massarano,,,,,,,2,2,"This house believes that the Labour Party should have worked to rehabilitate Tony Blair’s image in its campaigning, prior to the 2015 General Election.",,,,,
2016-01-23,IoNA,United Kingdom,0,York IV,Bethany Garry,Jennie Hope,Nissim Massarano,,,,,,,3,3,"This house believes that governments should promote, support, and incentivise students to attend MOOCs instead of Universities.",,,,,
2016-01-23,IoNA,United Kingdom,0,York IV,Bethany Garry,Jennie Hope,Nissim Massarano,,,,,,,4,4,"This house believes that the global Anglican church should split into two churches, rather than maintain a single communion.",,,,,
2016-01-23,IoNA,United Kingdom,0,York IV,Bethany Garry,Jennie Hope,Nissim Massarano,,,,,,,,Open_Semis,"This house would allow people to opt into religious structures with the power to punish them in this life (e.g., Beth Din courts, or Sharia courts) for infractions.",,,,,
2016-01-23,IoNA,United Kingdom,0,York IV,Bethany Garry,Jennie Hope,Nissim Massarano,,,,,,,,Open_Final,THW pay reparations to women,,,,,
2016-01-22,IoNA,United Kingdom,0,Inner Temple IV,Gavin O'Leary,Rebecca Meredith,Matthew Oldham,,,,,,,1,1,THW ban TV programmes and entertainment media from portraying convicted criminals as innocent,,,,,
2016-01-22,IoNA,United Kingdom,0,Inner Temple IV,Gavin O'Leary,Rebecca Meredith,Matthew Oldham,,,,,,,2,2,THW trigger a general election when a country goes into recession,,,,,
2016-01-22,IoNA,United Kingdom,0,Inner Temple IV,Gavin O'Leary,Rebecca Meredith,Matthew Oldham,,,,,,,3,3,THW exclusively fund domestic NGOs in developing countries as opposed to western NGOs working in developing countries,,,,,
2016-01-22,IoNA,United Kingdom,0,Inner Temple IV,Gavin O'Leary,Rebecca Meredith,Matthew Oldham,,,,,,,4,4,"TH, as a progressive female candidate, would not use conventional gender roles (e.g. marketing oneself as a mother or a wife) as a tactic in political campaign",,,,,
2016-01-22,IoNA,United Kingdom,0,Inner Temple IV,Gavin O'Leary,Rebecca Meredith,Matthew Oldham,,,,,,,Novice_Z,Novice_Final,TH supports the introduction of bystander laws,,,,,
2016-01-22,IoNA,United Kingdom,0,Inner Temple IV,Gavin O'Leary,Rebecca Meredith,Matthew Oldham,,,,,,,Open_Y,Open_Semis,Semi-Final: THBT the USA should make Taiwanese independence a major foreign-policy aim,,,,,
2016-01-22,IoNA,United Kingdom,0,Inner Temple IV,Gavin O'Leary,Rebecca Meredith,Matthew Oldham,,,,,,,Open_Z,Open_Final,Open Final: THW conscientiously object in situations of war,,,,,
2016-01-23,IoNA,United Kingdom,0,Queen Mary IV,Olivia Sundberg Diez,Eliot Pallot,Chessy Whalen,Martin Devenney,,,,,,,1,TH Supports Voluntourism,,,,,
2016-01-23,IoNA,United Kingdom,0,Queen Mary IV,Olivia Sundberg Diez,Eliot Pallot,Chessy Whalen,Martin Devenney,,,,,,,2,THBT it is in the UK's interest to leave the EU,,,,,
2016-01-23,IoNA,United Kingdom,0,Queen Mary IV,Olivia Sundberg Diez,Eliot Pallot,Chessy Whalen,Martin Devenney,,,,,,,3,THW ban boarding schools,,,,,
2016-01-23,IoNA,United Kingdom,0,Queen Mary IV,Olivia Sundberg Diez,Eliot Pallot,Chessy Whalen,Martin Devenney,,,,,,,4,THW introduce mixed-gender low security prisons,,,,,
2016-01-23,IoNA,United Kingdom,0,Queen Mary IV,Olivia Sundberg Diez,Eliot Pallot,Chessy Whalen,Martin Devenney,,,,,,,Open_Final,THBT student unions should not take political positions that do not directly pertain to tertiary education,,,,,
2016-01-30,IoNA,United Kingdom,0,Warwick IV,Cerys Bradley,Andrew Ford,,,,,,,https://www.facebook.com/events/1670365989907479/,1,1,"THBT government authorities, being the police, should preserve illegal art as evidence for prosecution of the artists responsible.",,,,,
2016-01-30,IoNA,United Kingdom,0,Warwick IV,Cerys Bradley,Andrew Ford,,,,,,,https://www.facebook.com/events/1670365989907479/,2,2,"THBT, in developing nations with an ineffectual state school system, the government should financially incentivise (e.g through tax breaks) the creation of private schools",,,,,
2016-01-30,IoNA,United Kingdom,0,Warwick IV,Cerys Bradley,Andrew Ford,,,,,,,https://www.facebook.com/events/1670365989907479/,3,3,THBT it is never a legitimate economic strategy for a state to become a tax haven.,,,,,
2016-01-30,IoNA,United Kingdom,0,Warwick IV,Cerys Bradley,Andrew Ford,,,,,,,https://www.facebook.com/events/1670365989907479/,4,4,,,,,,
2016-01-30,IoNA,United Kingdom,0,Warwick IV,Cerys Bradley,Andrew Ford,,,,,,,https://www.facebook.com/events/1670365989907479/,Open_Y,Open_Semis,,,,,,
2016-01-30,IoNA,United Kingdom,0,Warwick IV,Cerys Bradley,Andrew Ford,,,,,,,https://www.facebook.com/events/1670365989907479/,Open_Z,Open_Final,,,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,1,1,This House Would Ban All Lobbying Activity,,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,2,2,THW Allow Deaf Parents to Refuse Treatment for Deafness On Behalf of their Children,,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,3,3,THBT strong dictatorships in the Middle East are better than weak democracies,,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,4,4,This House as the LGBTQIA Community Would Oppose Pornography,,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,5,5,This House Opposes Laicité,,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,Novice_Z,Novice_Final,THB in the use of fear to instill values in children,,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,ESL_Z,ESL_Final,,,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,Open_X,Open_Quarters,TH Supports Hacking as a Form of Protest,,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,Open_Y,Open_Semis,"There exists a drug that increases empathy in individuals. TH, as the state, would lace their country's water supply with that drug.",,,,,
2016-01-29,IoNA,Ireland,0,Trinity IV,Omer Nevo,Dee Courtney,Matthew Collins,Srishti Krishnamoorthy,,,,,https://www.facebook.com/events/1658758154360660/,Open_Z,Open_Final,THW Welcome the End of American Intervention,,,,,
2016-01-28,IoNA,Ireland,0,Trinity Women's Open,Clare Ní Cheallaigh,Clíodhna Ní Ch,Mackenzie Tse,,,,,,https://www.facebook.com/events/203852539945764/,1,1,THW actively reward the use of Hiberno-English in schoolwork and examinations. ,,,,,
2016-01-28,IoNA,Ireland,0,Trinity Women's Open,Clare Ní Cheallaigh,Clíodhna Ní Ch,Mackenzie Tse,,,,,,https://www.facebook.com/events/203852539945764/,2,2,THW make Ulysses contracts enforceable by the courts.,,,,,
2016-01-28,IoNA,Ireland,0,Trinity Women's Open,Clare Ní Cheallaigh,Clíodhna Ní Ch,Mackenzie Tse,,,,,,https://www.facebook.com/events/203852539945764/,3,3,THW genetically engineer major meat animals not to feel pain. ,,,,,
2016-01-28,IoNA,Ireland,0,Trinity Women's Open,Clare Ní Cheallaigh,Clíodhna Ní Ch,Mackenzie Tse,,,,,,https://www.facebook.com/events/203852539945764/,Open_Y,Open_Semis,THS the concept of orgasm intervention. ,,,,,
2016-01-28,IoNA,Ireland,0,Trinity Women's Open,Clare Ní Cheallaigh,Clíodhna Ní Ch,Mackenzie Tse,,,,,,https://www.facebook.com/events/203852539945764/,Open_Z,Open_Final,"TH, as an individual with strong and deeply held convictions, would die for their cause.",,,,,
2016-01-16,IoNA,United Kingdom,0,London Pro-Am,Jamie Batchelor,Katie Heard,Maxine Muirhead,,,,,,https://www.facebook.com/events/1392109077754239/,1,1,"This House Would Not Provide State Funding for Art Based Higher Education, eg. art, music, drama.",,,,,
2016-01-16,IoNA,United Kingdom,0,London Pro-Am,Jamie Batchelor,Katie Heard,Maxine Muirhead,,,,,,https://www.facebook.com/events/1392109077754239/,2,2,"This House Supports Politicians Passing Progressive Legislation, Even When it is Contrary to the Wishes of the Democratic Electorate",,,,,
2016-01-16,IoNA,United Kingdom,0,London Pro-Am,Jamie Batchelor,Katie Heard,Maxine Muirhead,,,,,,https://www.facebook.com/events/1392109077754239/,3,3,THBT it is in the interest of the Conservative Government to impose a travel ban on Donald Trump,,,,,
2016-01-16,IoNA,United Kingdom,0,London Pro-Am,Jamie Batchelor,Katie Heard,Maxine Muirhead,,,,,,https://www.facebook.com/events/1392109077754239/,4,4,THW make the use of armed drones a war crime,,,,,
2016-01-16,IoNA,United Kingdom,0,London Pro-Am,Jamie Batchelor,Katie Heard,Maxine Muirhead,,,,,,https://www.facebook.com/events/1392109077754239/,Open_Y,Open_Semis,,,,,,
2016-01-16,IoNA,United Kingdom,0,London Pro-Am,Jamie Batchelor,Katie Heard,Maxine Muirhead,,,,,,https://www.facebook.com/events/1392109077754239/,Open_Z,Open_Final,,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - English Leg,Annie Williamson,Cerys Bradley,Kez Exley,Darion Hotan,,,,,https://www.facebook.com/The-John-Smith-Memorial-Mace-English-Leg-1655243924747065/?fref=ts,1,1,This House would allow offenders serving a prison term of ten or more years to opt to remain in prison indefinitely beyond their court appointed release date.,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - English Leg,Annie Williamson,Cerys Bradley,Kez Exley,Darion Hotan,,,,,https://www.facebook.com/The-John-Smith-Memorial-Mace-English-Leg-1655243924747065/?fref=ts,2,2,This House believes that the US and UK should cease selling arms to Saudi Arabia until they withdraw from Yemen.,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - English Leg,Annie Williamson,Cerys Bradley,Kez Exley,Darion Hotan,,,,,https://www.facebook.com/The-John-Smith-Memorial-Mace-English-Leg-1655243924747065/?fref=ts,3,3,"This House believes that LGBT+ advocacy groups and lobbyists should publicly fight for reparations for the victims, and the families of victims, of the AIDS epidemic.",,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - English Leg,Annie Williamson,Cerys Bradley,Kez Exley,Darion Hotan,,,,,https://www.facebook.com/The-John-Smith-Memorial-Mace-English-Leg-1655243924747065/?fref=ts,4,4,This House regrets Aung San Suu Kyi's declaration of intention to control the National League of Democracy (NLD) despite being constitutionally barred from running for president.,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - English Leg,Annie Williamson,Cerys Bradley,Kez Exley,Darion Hotan,,,,,https://www.facebook.com/The-John-Smith-Memorial-Mace-English-Leg-1655243924747065/?fref=ts,5,5,"This House prefers a world where the conception of the afterlife is based on karmic balance, rather than divine mercy","When evaluating the immortal soul, Karmic Balance is a weighing up of the good and bad actions you've done throughout your life, whereas Divine Mercy is the promise of benevolent forgiveness for all earthly transgressions.",,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - English Leg,Annie Williamson,Cerys Bradley,Kez Exley,Darion Hotan,,,,,https://www.facebook.com/The-John-Smith-Memorial-Mace-English-Leg-1655243924747065/?fref=ts,Open_Y,Open_Semis,,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - English Leg,Annie Williamson,Cerys Bradley,Kez Exley,Darion Hotan,,,,,https://www.facebook.com/The-John-Smith-Memorial-Mace-English-Leg-1655243924747065/?fref=ts,Open_Z,Open_Final,,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - Scottish Finals,John McKee,Dee Courtney,Kit Mercer,,,,,,https://www.facebook.com/events/1732589743636110/,1,1,This house would not wear a poppy.,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - Scottish Finals,John McKee,Dee Courtney,Kit Mercer,,,,,,https://www.facebook.com/events/1732589743636110/,2,2,"This house supports the Boycott, Divestment, Sanctions movement.",,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - Scottish Finals,John McKee,Dee Courtney,Kit Mercer,,,,,,https://www.facebook.com/events/1732589743636110/,3,3,This house regrets South Africa's Rainbow Nation narrative (long prep).,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - Scottish Finals,John McKee,Dee Courtney,Kit Mercer,,,,,,https://www.facebook.com/events/1732589743636110/,4,4,This House Believes the Eurozone should adopt a policy of fiscal union.,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - Scottish Finals,John McKee,Dee Courtney,Kit Mercer,,,,,,https://www.facebook.com/events/1732589743636110/,5,5,This House supports the Lean In movement.,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - Scottish Finals,John McKee,Dee Courtney,Kit Mercer,,,,,,https://www.facebook.com/events/1732589743636110/,Open_Y,Open_Semis,This House believes that the Britain Stronger in Europe campaign should pursue a 'Project Fear' strategy of negative campaigning similar to Better Together* in the upcoming referendum.,,,,,
2016-02-06,IoNA,United Kingdom,0,John Smith Memorial Mace - Scottish Finals,John McKee,Dee Courtney,Kit Mercer,,,,,,https://www.facebook.com/events/1732589743636110/,Open_Z,Open_Final,This House would welcome a resurgence of Pink Tide Values in Latin American Politics.,,,,,
2014-10-04,IoNA,Edinburgh,0,Edinburgh Cup,,,,,,,,,,1,1,THBT governments should negotiate with terrorists when their citizens are taken hostage by terrorist groups,,,,,
2014-10-04,IoNA,Edinburgh,0,Edinburgh Cup,,,,,,,,,,2,2,THW allow international commercial surrogacy,,,,,
2014-10-04,IoNA,Edinburgh,0,Edinburgh Cup,,,,,,,,,,3,3,THS “No Platform” policies in student unions,,,,,
2014-10-04,IoNA,Edinburgh,0,Edinburgh Cup,,,,,,,,,,4,4,THW pay reparations to former mining communities in the UK,,,,,
2014-10-04,IoNA,Edinburgh,0,Edinburgh Cup,,,,,,,,,,5,5,"THBT government regulation agencies should be allowed to break up banks, like Goldman Sachs, JP Morgan Chase and HSBC, that are deemed ’too big to fail’.",,,,,
2014-10-04,IoNA,Edinburgh,0,Edinburgh Cup,,,,,,,,,,Open_Y,Open_Semis,"THBT governments should prioritise economically productive public spending over investing in arts, humanities, etc. when deciding on their budget.",,,,,
2014-10-04,IoNA,Edinburgh,0,Edinburgh Cup,,,,,,,,,,Open_Z,Open_Final,"TH, as the UK Labour party, would participate in a cross party initiative to reform the Human Rights Act.","The Conservatives outlined proposed changes to the Human Rights Act. Under the proposal announced on Friday, a victorious Conservative party would draw up a Bill of Rights that would set out the application of human rights law in Britain. The proposed changes would mean the European court's rulings would no longer be binding over the Supreme Court and that Britain's parliament would have the right to veto its judgments. It is unclear at this stage whether there would be any substantive changes to the rights set out in the legislation. Motion",,,,
2014-10-10,IoNA,"London, United Kingdom",0,UCL President’s Cup,,,,,,,,,,1,1,THW impose a tax on unhealthy foods,,,,,
2014-10-10,IoNA,"London, United Kingdom",0,UCL President’s Cup,,,,,,,,,,2,2,TH believes that animal rights activists should launch a campaign of sabotage and property destruction to further the cause of animal rights.,,,,,
2014-10-10,IoNA,"London, United Kingdom",0,UCL President’s Cup,,,,,,,,,,3,3,THW legalise the buying and selling of sexual services,,,,,
2014-10-10,IoNA,"London, United Kingdom",0,UCL President’s Cup,,,,,,,,,,4,4,"TH, as a parent with the financial means to do so, would not send their child to private school",,,,,
2014-10-10,IoNA,"London, United Kingdom",0,UCL President’s Cup,,,,,,,,,,Novice_Z,Novice_Final,THW make voting compulsory,,,,,
2014-10-10,IoNA,"London, United Kingdom",0,UCL President’s Cup,,,,,,,,,,Open_Y,Open_Semis,THW only imprison individuals who have committed violent crimes and pose a continuing threat to society,,,,,
2014-10-10,IoNA,"London, United Kingdom",0,UCL President’s Cup,,,,,,,,,,Open_Z,Open_Final,TH regrets the characterisation of soldiers as heroes,,,,,
2014-10-17,"Turku, Finland",Turku,0,Turku Open,,,,,,,,,,1,1,THBT the EU should make English the primary language of instruction for all students above the age of 14,,,,,
2014-10-17,"Turku, Finland",Turku,0,Turku Open,,,,,,,,,,2,2,TH supports violent revolution in countries with severe economic inequality,,,,,
2014-10-17,"Turku, Finland",Turku,0,Turku Open,,,,,,,,,,3,3,THW ban religious practices that cause cruelty to animals.,,,,,
2014-10-17,"Turku, Finland",Turku,0,Turku Open,,,,,,,,,,4,4,ΤΗΒΤ on balance the invention of nuclear weapons was beneficial for the world.,,,,,
2014-10-17,"Turku, Finland",Turku,0,Turku Open,,,,,,,,,,5,5,TH would make bidding to host major sporting events conditional on winning a local public referendum.,,,,,
2014-10-17,"Turku, Finland",Turku,0,Turku Open,,,,,,,,,,Open_Y,Open_Semis,"THBT parents should push their kids to achieve, even if that comes at the expense of their child’s happiness.",,,,,
2014-10-17,"Turku, Finland",Turku,0,Turku Open,,,,,,,,,,Open_Z,Open_Final,THW take the red pill.,"You are facing a choice to either take the blue pill which will allow you to continue your normal comfortable life, or the red pill. The red pill will reveal truths that could drastically change your life for the worse",,,,
2014-10-17,The Netherlands,Middelburg,0,Roosevelt Open,,,,,,,,,,1,1,THW prioritise dealing with the consequences of climate change rather than preventing it,,,,,
2014-10-17,The Netherlands,Middelburg,0,Roosevelt Open,,,,,,,,,,2,2,"THW set the burden of proof in criminal trials to ""balance of probabilities"" rather than ""beyond reasonable doubt"".",,,,,
2014-10-17,The Netherlands,Middelburg,0,Roosevelt Open,,,,,,,,,,3,3,THR that companies such as Facebook and Apple have offered to pay for elective egg freezing for their employees.,,,,,
2014-10-17,The Netherlands,Middelburg,0,Roosevelt Open,,,,,,,,,,4,4,THBT companies like H&M and Primark should hire half as many factory workers in the developing world but pay them twice as much.,,,,,
2014-10-17,The Netherlands,Middelburg,0,Roosevelt Open,,,,,,,,,,5,5,THBT people who go bankrupt should have their finances managed by the state for five years.,,,,,
2014-10-17,The Netherlands,Middelburg,0,Roosevelt Open,,,,,,,,,,Novice_Z,Novice_Final,THW only allow those who pass a political awareness exam to vote.,,,,,
2014-10-17,The Netherlands,Middelburg,0,Roosevelt Open,,,,,,,,,,Open_Y,Open_Semis,"THW impose the death penalty for pretty crime, if we knew that it would be 100% effective in deterring pretty crime and would never be used.",,,,,
2014-10-17,The Netherlands,Middelburg,0,Roosevelt Open,,,,,,,,,,Open_Z,Open_Final,"THBT the EU should abandon its aim to establish an ""ever closer union"".",,,,,
2014-10-18,IoNA,Glasgow,0,Strathclyde Cup,,,,,,,,,,1,1,THBT retired parents should be allowed to seek alimony payments from their adult children.,,,,,
2014-10-18,IoNA,Glasgow,0,Strathclyde Cup,,,,,,,,,,2,2,THBT western media outlets should collectively decline to cover any ISIS actions primarily intended to attract western attention (e.g. Hostage takings/executions),,,,,
2014-10-18,IoNA,Glasgow,0,Strathclyde Cup,,,,,,,,,,3,3,"THBT copyright of photographic art featuring individuals or communities of people should belong to those people, not the artist.",,,,,
2014-10-18,IoNA,Glasgow,0,Strathclyde Cup,,,,,,,,,,4,4,"THBT the trans movement should actively seek to separate themselves, their issues and their collective identity from the LGBTQ movement in their campaigns and in the public consciousness.",,,,,
2014-10-18,IoNA,Glasgow,0,Strathclyde Cup,,,,,,,,,,Open_Z,Open_Final,THBT military conscription should be regarded as a war crime.,,,,,
2014-10-18,IoNA,London,0,SOAS IV,,,,,,,,,,1,1,"THW require parents to vaccinate their children, except where doing so is not in the child's medical interest",,,,,
2014-10-18,IoNA,London,0,SOAS IV,,,,,,,,,,2,2,THW ban the paying of ransom insurance in the case of kidnapping,,,,,
2014-10-18,IoNA,London,0,SOAS IV,,,,,,,,,,3,3,"THW impose very high taxes on the rich, even when doing so will not increase total tax revenues",,,,,
2014-10-18,IoNA,London,0,SOAS IV,,,,,,,,,,4,4,THBT feminist campaigns directed specifically at men are harmful to the feminist cause,,,,,
2014-10-18,IoNA,London,0,SOAS IV,,,,,,,,,,5,5,THBT the IMF and the World Bank should not make debt relief for highly indebted poor countries conditional on trade liberalisation,,,,,
2014-10-18,IoNA,London,0,SOAS IV,,,,,,,,,,Open_X,Open_Quarters,THBT the state has a duty to provide the long term unemployed with lasting employment which pays at least the minimum wage,,,,,
2014-10-18,IoNA,London,0,SOAS IV,,,,,,,,,,Open_Y,Open_Semis,THR Lara Croft,,,,,
2014-10-18,IoNA,London,0,SOAS IV,,,,,,,,,,Open_Z,Open_Final,THS a federal UK,,,,,
2014-10-18,IoNA,London,0,SOAS IV,,,,,,,,,,ESL_Z,ESL_Final,THW offer full amnesty to any European citizen currently fighting on behalf of ISIL as long as they immediately return to Europe,,,,,
2014-10-25,IoNA,Glasgow,0,Bogwall (SSDC Novices),,,,,,,,,,1,1,THW force companies to pay their interns,,,,,
2014-10-25,IoNA,Glasgow,0,Bogwall (SSDC Novices),,,,,,,,,,2,2,THW out closeted LGBT sports stars,,,,,
2014-10-25,IoNA,Glasgow,0,Bogwall (SSDC Novices),,,,,,,,,,3,3,THW allocate votes inversely proportional to wealth (where everyone gets at least one vote),,,,,
2014-10-25,IoNA,Glasgow,0,Bogwall (SSDC Novices),,,,,,,,,,4,4,THW allow single parents to raise their children in prison,,,,,
2014-10-25,IoNA,Glasgow,0,Bogwall (SSDC Novices),,,,,,,,,,Open_Y,Open_Semis,THBT the West should use ground troops against the Islamic State,,,,,
2014-10-25,IoNA,Glasgow,0,Bogwall (SSDC Novices),,,,,,,,,,Open_Z,Open_Final,THW require British political parties to field 50% female candidates in national elections,,,,,
2014-10-26,IoNA,United Kingdom,0,SDA Novices,,,,,,,,,,1,1,THW ban all political donations by corporations,,,,,
2014-10-26,IoNA,United Kingdom,0,SDA Novices,,,,,,,,,,2,2,THBT Miley Cyrus' sexualised performances (such as Wrecking Ball) are a victory for feminism,,,,,
